Sensor Position (Radians)	Light Intensity (Volts)
0.75485	1.84176
0.75922	1.82549
0.76358	1.81115
0.76794	1.79714
0.77231	1.78055
0.77667	1.75945
0.78103	1.74511
0.78540	1.72707
0.78976	1.71837
0.78976	1.70548
0.79412	1.69115
0.79849	1.67794
0.80285	1.66328
0.80285	1.65458
0.80721	1.63863
0.81594	1.61415
0.82030	1.59321
0.82467	1.57613
0.82903	1.55455
0.83339	1.53635
0.83776	1.52878
0.84212	1.51831
0.84212	1.50510
0.84648	1.49511
0.85085	1.47401
0.85957	1.45452
0.86394	1.43857
0.86830	1.41827
0.87266	1.40426
0.87703	1.38767
0.88139	1.36802
0.88575	1.35980
0.89012	1.34498
0.89448	1.33000
0.89448	1.32324
0.89884	1.31422
0.89884	1.30503
0.89884	1.29940
0.90321	1.29376
0.90321	1.28586
0.90757	1.27507
0.91193	1.26573
0.91630	1.24914
0.91630	1.24447
0.92066	1.23174
0.92502	1.22014
0.92502	1.20871
0.92939	1.19228
0.93811	1.16860
0.94248	1.15829
0.94684	1.14347
0.95120	1.12478
0.95557	1.11190
0.95993	1.09853
0.96429	1.08242
0.96866	1.06712
0.97302	1.05520
0.97302	1.04569
0.97738	1.03909
0.97738	1.02781
0.98175	1.01380
0.98611	1.00188
0.99047	0.99141
0.99484	0.97643
0.99920	0.96016
0.99920	0.95243
1.00793	0.93551
1.01229	0.92166
1.01229	0.91360
1.01665	0.89959
1.02102	0.88413
1.02974	0.86528
1.03411	0.84853
1.03847	0.83161
1.04283	0.81534
1.04720	0.80423
1.05156	0.79843
1.05156	0.79054
1.05592	0.78007
1.06029	0.77395
1.06029	0.76331
1.06465	0.75011
1.06901	0.73947
1.07338	0.72804
1.07774	0.71773
1.08210	0.70919
1.08210	0.69953
1.08647	0.68938
1.09083	0.67875
1.09519	0.66248
1.09956	0.64734
1.10392	0.63542
1.10828	0.62881
1.11265	0.61705
1.11701	0.60723
1.12137	0.59643
1.12574	0.58355
1.13010	0.56824
1.13446	0.55810
1.13883	0.54795
1.14319	0.53603
1.14319	0.53393
1.14755	0.51895
1.15628	0.50236
1.16064	0.48819
1.16501	0.47691
1.16937	0.46676
1.17373	0.45903
1.17373	0.45372
1.17810	0.44163
1.18682	0.43229
1.18682	0.42633
1.19119	0.42166
1.19119	0.41409
1.19555	0.40942
1.19991	0.39476
1.20428	0.38526
1.20428	0.38397
1.20428	0.38397
1.20864	0.37913
1.20864	0.37962
1.20864	0.37140
1.21300	0.36367
1.21737	0.36045
1.21737	0.35771
1.22173	0.35368
1.22173	0.34466
1.22609	0.33693
1.23046	0.33049
1.23482	0.32308
1.23482	0.31583
1.24355	0.30391
1.24791	0.29167
1.25664	0.27717
1.26536	0.25704
1.26973	0.24737
1.26973	0.24753
1.26973	0.24866
1.26973	0.24995
1.26973	0.25188
1.26973	0.24753
1.26973	0.25220
1.26973	0.25269
1.26973	0.25252
1.26973	0.25027
1.26973	0.25269
1.26973	0.25317
1.26973	0.25349
1.26973	0.25091
1.26973	0.25252
1.26973	0.25220
1.26973	0.25011
1.26973	0.25108
1.26973	0.25124
1.26973	0.25285
1.26973	0.25043
1.26973	0.25317
1.26973	0.25269
1.26973	0.25220
1.27409	0.24109
1.27845	0.22933
1.29154	0.21338
1.29591	0.20420
1.30027	0.19405
1.30900	0.18310
1.31336	0.17633
1.31772	0.16941
1.32209	0.16055
1.33081	0.15040
1.33081	0.14911
1.33518	0.14106
1.33954	0.13703
1.34827	0.12608
1.35699	0.11464
1.36136	0.10530
1.36572	0.09982
1.37445	0.09450
1.37881	0.08661
1.38317	0.08146
1.38754	0.07517
1.39190	0.07227
1.39626	0.06583
1.39626	0.06535
1.40063	0.05923
1.40499	0.06003
1.40935	0.05584
1.41372	0.05311
1.41808	0.04521
1.42681	0.03925
1.43117	0.03281
1.43990	0.02927
1.44426	0.02701
1.44862	0.02105
1.45299	0.01718
1.46171	0.01477
1.46608	0.01187
1.47044	0.00816
1.47480	0.00849
1.47917	0.00398
1.48353	0.00204
1.48789	-0.00005
1.49226	0.00011
1.49662	-0.00070
1.49662	-0.00327
1.50098	-0.00472
1.50098	-0.00247
1.50098	-0.00472
1.50535	-0.00521
1.50535	-0.00376
1.50971	-0.00504
1.50971	-0.00714
1.51407	-0.00488
1.51407	-0.00682
1.51407	-0.00601
1.51407	-0.00794
1.51844	-0.00521
1.51844	-0.00617
1.51844	-0.00827
1.52280	-0.00875
1.52716	-0.00875
1.53153	-0.00956
1.53153	-0.01165
1.53153	-0.00923
1.53153	-0.00891
1.53153	-0.01117
1.53153	-0.00875
1.53153	-0.00956
1.53589	-0.01133
1.53589	-0.00859
1.53589	-0.00956
1.53589	-0.00939
1.54025	-0.00907
1.54025	-0.01052
1.54025	-0.00907
1.54462	-0.01004
1.56643	-0.00714
1.57516	-0.00360
1.57516	-0.00408
1.57516	-0.00682
1.57952	-0.00649
1.57952	-0.00231
1.58389	-0.00279
1.58389	-0.00553
1.58825	-0.00005
1.59698	0.00188
1.60134	0.00285
1.60570	0.00591
1.61443	0.00849
1.62316	0.01396
1.63188	0.01847
1.63625	0.02331
1.64497	0.02878
1.65370	0.03555
1.66243	0.03748
1.66679	0.05053
1.67552	0.05584
1.67988	0.05907
1.68424	0.06309
1.68861	0.06986
1.69297	0.07501
1.69733	0.07823
1.70170	0.08419
1.70606	0.08629
1.71042	0.09466
1.71479	0.09595
1.71915	0.10046
1.72351	0.10884
1.73224	0.11754
1.73660	0.12479
1.74097	0.13574
1.74969	0.14718
1.75842	0.15894
1.76278	0.16763
1.76715	0.17392
1.77587	0.18262
1.78024	0.19276
1.78460	0.20162
1.78896	0.20871
