Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.62366
0.00000	0.62462
0.00000	0.62495
0.00000	0.62414
0.00000	0.62446
0.00000	0.62656
0.00000	0.62430
0.00000	0.61850
0.00000	0.62366
0.00000	0.62366
0.00000	0.62382
0.00000	0.62398
0.00000	0.62382
0.00000	0.62559
0.00000	0.62720
0.00000	0.62559
0.00000	0.62189
0.00000	0.62350
0.00000	0.62768
0.00000	0.62350
0.00000	0.62688
0.00000	0.62269
0.00000	0.62591
0.00000	0.62382
0.00000	0.62511
0.00000	0.62301
0.00000	0.62495
0.00000	0.62462
0.00000	0.62382
0.00000	0.62462
0.00000	0.62366
0.00000	0.62591
0.00000	0.62366
0.00000	0.62237
0.00000	0.62591
0.00000	0.62221
0.00000	0.62672
0.00000	0.62430
0.00436	0.62607
0.00873	0.62591
0.01309	0.62333
0.01745	0.62704
0.02182	0.62656
0.02618	0.62543
0.03054	0.62688
0.03054	0.62495
0.03054	0.62462
0.03491	0.62366
0.03491	0.62398
0.03491	0.62559
0.03927	0.62430
0.04363	0.62398
0.04363	0.62317
0.04800	0.62640
0.04800	0.62156
0.05236	0.62382
0.05672	0.61866
0.05672	0.62140
0.06109	0.62285
0.06109	0.62285
0.06109	0.62076
0.06545	0.62044
0.06981	0.61705
0.06981	0.62124
0.07418	0.61754
0.07418	0.62317
0.07854	0.61737
0.07854	0.61802
0.07854	0.61625
0.08290	0.61609
0.08290	0.62011
0.08290	0.61657
0.08290	0.61480
0.08290	0.61593
0.08727	0.61431
0.08727	0.61576
0.08727	0.61351
0.09163	0.61770
0.09163	0.61206
0.09599	0.61367
0.09599	0.60964
0.09599	0.61335
0.10036	0.61109
0.10036	0.60916
0.10472	0.60819
0.10472	0.60658
0.10472	0.60980
0.10472	0.60707
0.10908	0.60787
0.10908	0.60401
0.10908	0.60852
0.10908	0.60739
0.11345	0.60707
0.11345	0.60127
0.11345	0.60497
0.11345	0.60481
0.11345	0.60578
0.11345	0.60239
0.11345	0.60320
0.11345	0.60417
0.11781	0.60401
0.11781	0.60223
0.11781	0.60320
0.11781	0.60239
0.11781	0.60030
0.12217	0.60352
0.12217	0.60094
0.12654	0.59821
0.12654	0.59917
0.12654	0.59949
0.12654	0.59756
0.12654	0.59772
0.13090	0.59692
0.13090	0.59853
0.13090	0.59563
0.13526	0.59692
0.13526	0.59386
0.13526	0.59466
0.13526	0.59144
0.13963	0.59998
0.14399	0.58677
0.14399	0.59080
0.14399	0.58886
0.14399	0.58886
0.14835	0.58886
0.14835	0.58419
0.14835	0.58983
0.14835	0.58886
0.14835	0.58935
0.14835	0.58451
0.14835	0.58661
0.14835	0.58435
0.15272	0.58709
0.15272	0.58210
0.15272	0.58484
0.15708	0.58258
0.15708	0.58161
0.16144	0.58033
0.16144	0.57920
0.16144	0.57598
0.16581	0.57775
0.16581	0.57855
0.16581	0.57598
0.17017	0.57646
0.17017	0.57485
0.17017	0.57404
0.17017	0.57195
0.17017	0.57324
0.17453	0.56663
0.17453	0.56663
0.17890	0.56824
0.17890	0.56599
0.17890	0.56953
0.18326	0.56631
0.18326	0.56663
0.18326	0.56518
0.18326	0.56486
0.18762	0.56164
0.18762	0.56293
0.18762	0.56019
0.18762	0.56164
0.18762	0.55713
0.19199	0.56132
0.19199	0.55858
0.19199	0.55971
0.19199	0.55649
0.19635	0.55713
0.19635	0.55745
0.19635	0.55310
0.20071	0.55359
0.20071	0.55423
0.20071	0.55343
0.20071	0.55149
0.20508	0.54602
0.20508	0.54698
0.20944	0.54360
0.20944	0.54215
0.20944	0.54473
0.21380	0.53973
0.21380	0.54183
0.21817	0.54022
0.21817	0.53989
0.21817	0.53651
0.21817	0.53732
0.22253	0.53683
