Sensor Position (Radians)	Light Intensity (Volts)
0.50615	0.14927
0.51051	0.14879
0.51051	0.14428
0.51487	0.14122
0.51487	0.13671
0.51924	0.13622
0.52360	0.13429
0.52796	0.13026
0.52796	0.12382
0.53233	0.12559
0.53669	0.11899
0.54105	0.11673
0.54542	0.11416
0.54978	0.10836
0.54978	0.10771
0.55414	0.10288
0.55414	0.10336
0.55851	0.09885
0.55851	0.09773
0.56287	0.09644
0.56287	0.09595
0.56723	0.09434
0.56723	0.09112
0.57160	0.08951
0.57160	0.08774
0.57160	0.08677
0.57596	0.08629
0.57596	0.08097
0.58032	0.07968
0.58469	0.07840
0.58469	0.07662
0.58905	0.07115
0.59341	0.06889
0.59778	0.06664
0.60214	0.06648
0.60214	0.06229
0.60650	0.05939
0.61087	0.05939
0.61087	0.05810
0.61523	0.05649
0.61523	0.05037
0.61959	0.05294
0.61959	0.05005
0.62396	0.04876
0.62396	0.04698
0.62832	0.04280
0.62832	0.04473
0.63268	0.04199
0.63268	0.04876
0.63705	0.03748
0.63705	0.03829
0.64141	0.03861
0.64141	0.03506
0.64141	0.03523
0.64577	0.03410
0.64577	0.03684
0.64577	0.03313
0.65014	0.03184
0.65014	0.03072
0.65450	0.03136
0.65450	0.02588
0.65450	0.02765
0.65886	0.02637
0.65886	0.02492
0.66323	0.02347
0.66759	0.02041
0.66759	0.02395
0.66759	0.01960
0.67195	0.01944
0.67195	0.02089
0.67632	0.01751
0.67632	0.01944
0.67632	0.01509
0.68068	0.01638
0.68068	0.01847
0.68068	0.01348
0.68068	0.01509
0.68068	0.01573
0.68068	0.01461
0.68068	0.01525
0.68068	0.01638
0.68068	0.01686
0.68068	0.01863
0.68068	0.02298
0.68068	0.01606
0.68068	0.01606
0.68068	0.01573
0.68068	0.01638
0.68068	0.01525
0.68068	0.01638
0.68068	0.01654
0.68068	0.01880
0.68068	0.01638
0.68068	0.01654
0.68504	0.01348
0.69377	0.00655
0.70250	0.00768
0.71122	0.00510
0.71995	-0.00231
0.72431	0.00188
0.72431	-0.00086
0.72867	-0.00231
0.73304	-0.00311
0.73740	-0.00295
0.74176	-0.00504
0.74613	-0.00633
0.74613	-0.00408
0.75049	-0.00682
0.75485	-0.00521
0.75922	-0.00714
0.75922	-0.01004
0.76358	-0.00666
0.76794	-0.00956
0.77231	-0.00859
0.77667	-0.00875
0.78103	-0.01036
0.78540	-0.01117
0.78540	-0.00988
0.78540	-0.00891
0.78540	-0.01213
0.78976	-0.00891
0.79412	-0.00875
0.79849	-0.00939
0.80285	-0.00907
0.80285	-0.01004
0.80721	-0.00827
0.80721	-0.00988
0.81158	-0.00875
0.81594	-0.00666
0.82030	-0.00939
0.82030	-0.01004
0.82467	-0.00585
0.82467	-0.00698
0.82903	-0.00537
0.82903	-0.00553
0.83339	-0.00617
0.83776	-0.00456
0.84212	-0.00521
0.84212	-0.00408
0.84648	-0.00311
0.85085	-0.00472
0.85085	-0.00021
0.85521	-0.00118
0.85521	-0.00279
0.85957	-0.00086
0.85957	0.00059
0.86394	0.00027
0.86394	0.00188
0.86394	0.00140
0.86830	-0.00037
0.87266	0.00204
0.87703	0.00736
0.87703	0.00462
0.88139	0.00575
0.88139	0.00559
0.88575	0.00800
0.89012	0.01106
0.89448	0.00849
0.89448	0.01445
0.89884	0.01348
0.90321	0.01525
0.90757	0.01525
0.90757	0.01815
0.91193	0.01670
0.91193	0.02041
0.91193	0.02121
0.91630	0.02105
0.91630	0.02121
0.92066	0.02508
0.92066	0.02379
0.92502	0.02508
0.92502	0.02717
0.92939	0.03007
0.93375	0.02862
0.93811	0.03184
0.94248	0.03651
0.94248	0.03506
0.94684	0.03812
0.94684	0.03748
0.95120	0.04135
0.95120	0.04119
0.95557	0.04247
0.95993	0.04328
0.96429	0.04972
0.96429	0.04618
0.96866	0.05117
0.96866	0.05488
0.97302	0.05182
0.97302	0.05504
0.97738	0.05294
0.97738	0.05601
0.98175	0.05633
0.98175	0.05955
0.98611	0.06293
0.98611	0.06438
0.99047	0.06744
0.99047	0.06857
0.99484	0.07082
0.99484	0.07002
0.99484	0.07227
0.99920	0.07340
0.99920	0.07695
1.00356	0.07646
1.00356	0.07533
1.00356	0.07888
1.00793	0.07968
1.00793	0.08033
1.01229	0.07936
1.01229	0.08274
1.01665	0.08484
1.01665	0.08806
1.02102	0.08854
1.02102	0.09096
1.02538	0.09402
1.02538	0.09515
1.02974	0.09144
1.02974	0.09724
1.03411	0.10014
1.03411	0.10079
1.03847	0.10272
1.03847	0.10546
1.04283	0.10820
1.04283	0.11029
1.04720	0.11222
1.04720	0.11480
1.05156	0.11206
1.05156	0.11689
1.05592	0.11722
1.06029	0.12463
1.06029	0.12463
1.06465	0.12753
1.06465	0.12978
1.06901	0.13139
1.07338	0.13574
1.07338	0.13445
1.07774	0.13864
1.08210	0.13832
1.08210	0.14541
1.08647	0.14669
1.09083	0.15072
1.09083	0.14943
1.09519	0.15410
1.09519	0.15620
1.09956	0.15894
1.10392	0.16296
1.10828	0.16683
1.11265	0.17053
1.11701	0.17440
1.11701	0.17488
1.12137	0.17907
1.12137	0.17955
1.12574	0.18229
1.12574	0.18471
1.13010	0.18696
1.13446	0.19099
1.13446	0.19164
1.13883	0.19389
1.13883	0.19760
1.14319	0.19792
1.14319	0.19969
1.14755	0.20017
1.14755	0.20565
1.15192	0.21097
1.15628	0.21097
1.16064	0.21838
1.16501	0.22562
1.16501	0.22079
1.16937	0.22289
1.16937	0.22385
1.17373	0.22611
1.17373	0.23030
1.17373	0.23046
1.17810	0.23126
1.17810	0.23352
1.18246	0.23738
1.18246	0.23948
1.18682	0.23948
1.19119	0.24286
1.19555	0.24705
1.19555	0.25236
1.19991	0.25430
1.19991	0.25478
1.20428	0.25768
1.20428	0.25897
1.20428	0.25865
1.20428	0.25945
1.20864	0.26122
1.20864	0.26541
1.21300	0.26316
1.21300	0.26847
1.21737	0.26847
1.21737	0.27330
1.22173	0.27427
1.22173	0.27975
1.22609	0.27943
1.23046	0.28345
1.23046	0.28345
1.23482	0.28796
1.23918	0.28748
1.23918	0.29183
1.24355	0.29376
1.24355	0.29586
1.24791	0.30085
1.25227	0.29892
1.25227	0.30552
1.25664	0.30649
1.25664	0.30778
1.26100	0.30955
1.26100	0.31196
1.26536	0.31261
1.26973	0.31680
1.26973	0.31825
1.27409	0.31953
1.27409	0.32517
1.27845	0.32549
1.28282	0.33097
1.28718	0.33178
1.29154	0.33564
1.29154	0.33790
1.29591	0.34015
1.30027	0.34466
1.30027	0.34257
1.30463	0.34676
1.30900	0.34740
1.31336	0.35175
1.31336	0.35256
1.31772	0.35852
1.31772	0.35691
1.32209	0.36174
1.32645	0.36174
1.32645	0.36319
1.33081	0.36705
1.33518	0.36963
1.33518	0.36931
1.33954	0.37430
1.34390	0.37785
1.34390	0.37430
1.34827	0.37962
1.34827	0.38139
1.35263	0.38381
1.35699	0.38413
1.35699	0.38413
1.36136	0.39073
1.36136	0.39089
1.36136	0.38928
1.36572	0.39476
1.36572	0.39234
1.37008	0.39347
1.37008	0.39669
1.37445	0.39653
1.37445	0.39846
1.37881	0.39991
1.38317	0.40265
1.38317	0.40217
1.38317	0.40217
1.38317	0.40668
1.38754	0.40410
1.38754	0.40523
1.38754	0.40571
1.38754	0.40587
1.39190	0.40587
1.39190	0.40797
1.39190	0.40491
1.39190	0.40829
1.39190	0.40877
1.39190	0.40877
1.39190	0.40507
1.39190	0.40942
1.39190	0.40813
1.39190	0.40684
1.39190	0.40877
1.39190	0.40894
1.39190	0.40732
1.39190	0.40523
1.39190	0.40604
1.39190	0.40877
1.39190	0.40587
1.39190	0.40636
1.39190	0.40732
1.39190	0.40507
1.39190	0.40813
1.39626	0.40894
1.39626	0.41892
1.40063	0.41538
1.40935	0.41425
1.41808	0.42102
1.42244	0.42392
1.42244	0.42649
1.42681	0.42762
1.43117	0.42682
1.43117	0.43004
1.43553	0.42955
1.43990	0.43020
1.44426	0.43535
1.44862	0.43632
1.44862	0.43567
1.45735	0.43809
1.46171	0.44067
1.46608	0.43841
1.47044	0.44325
1.47480	0.44550
1.47917	0.44421
1.47917	0.44453
1.48353	0.44679
1.48789	0.44727
1.49226	0.45033
1.49662	0.45049
1.50098	0.44921
1.50535	0.44792
1.50971	0.45130
1.51407	0.45114
1.51407	0.45275
1.51407	0.45130
1.51407	0.45049
1.51844	0.45194
1.52280	0.45339
1.52716	0.45114
1.52716	0.45468
1.53153	0.45307
1.53589	0.45533
1.53589	0.45001
1.54025	0.45404
1.54462	0.45484
1.54898	0.45420
1.54898	0.45275
1.55334	0.45533
1.55771	0.45211
1.56207	0.45049
1.56643	0.45549
1.57080	0.45388
1.57516	0.45404
1.57952	0.45098
1.58389	0.45420
1.58825	0.45194
1.58825	0.45098
1.59261	0.44872
1.59698	0.45001
1.59698	0.44808
1.60134	0.44856
1.60570	0.44582
1.61007	0.44711
1.61443	0.45420
1.61879	0.44341
1.62316	0.44389
1.62752	0.44276
1.62752	0.44002
1.63188	0.43906
1.63625	0.44018
1.64061	0.43455
1.64061	0.43551
1.64497	0.43503
1.64934	0.43390
1.65370	0.43165
1.65370	0.43310
1.65370	0.43294
1.65806	0.42971
1.66243	0.42859
1.66679	0.42649
1.67115	0.42537
1.67115	0.42408
1.67552	0.42504
1.67988	0.42069
1.67988	0.41908
1.68424	0.41634
1.68861	0.41490
1.69297	0.41345
1.69297	0.41135
1.69733	0.40942
1.70170	0.40571
1.70606	0.40652
1.71042	0.40153
1.71479	0.39927
1.71915	0.39927
1.72788	0.39041
1.73224	0.39250
1.73224	0.38848
1.73660	0.38767
1.73660	0.38510
1.73660	0.38783
1.74097	0.38171
1.74097	0.38284
1.74533	0.38187
1.74969	0.37575
1.74969	0.37656
1.75406	0.37189
1.75406	0.37140
1.75842	0.37156
1.76278	0.36770
1.76278	0.36625
1.76715	0.36303
1.77151	0.36206
1.77587	0.35691
1.77587	0.35449
