Sensor Position (Degrees)	Light Intensity (Volts)
173.71667	0.95085
173.71667	0.93651
173.71667	0.92056
173.71667	0.94183
173.71667	0.92056
173.71667	0.90058
173.71667	0.91605
173.73333	0.95697
173.71667	0.97083
173.71667	0.98936
173.71667	0.99242
173.71667	0.99516
173.70000	0.99242
173.70000	0.99934
173.70000	0.99209
173.70000	1.00595
173.68333	1.00063
173.68333	1.00966
173.66667	1.02367
173.66667	1.03817
173.66667	1.03463
173.65000	1.01658
173.63333	1.00563
172.65000	1.91414
171.03333	2.70923
169.65000	2.86068
168.46667	2.85311
167.46667	2.83684
166.68333	2.82314
166.30000	2.81074
166.30000	2.81251
166.30000	2.80429
166.31667	2.79849
166.31667	2.80252
166.31667	2.80107
166.31667	2.81331
166.31667	2.79978
166.31667	2.80477
166.31667	2.81509
166.31667	2.82072
166.31667	2.82008
166.31667	2.81992
166.31667	2.82298
166.31667	2.81460
166.31667	2.78641
166.31667	2.40296
166.31667	2.40408
166.31667	2.43663
166.31667	2.48126
166.31667	2.60532
166.31667	2.59887
166.31667	2.60290
166.31667	2.59871
166.31667	2.59323
166.31667	2.59243
166.31667	2.59468
166.31667	2.58115
166.31667	2.56697
166.31667	2.55295
166.31667	2.54796
166.31667	2.56230
166.31667	2.56439
166.31667	2.57615
166.31667	2.62384
166.31667	2.61337
166.31667	2.61740
166.31667	2.59968
166.31667	2.55972
166.31667	2.59726
166.31667	2.58260
166.30000	2.56858
166.30000	2.57406
166.30000	2.58937
166.30000	2.59001
166.28333	2.59533
166.26667	2.62336
166.11667	2.67476
165.33333	2.74355
164.75000	2.15919
164.53333	2.12004
164.50000	2.12085
164.50000	2.13277
164.50000	2.13261
164.50000	2.12488
164.50000	2.08637
164.50000	2.08266
164.50000	2.07251
164.50000	2.07606
164.51667	2.07284
164.51667	2.06414
164.51667	2.06285
164.51667	2.07364
164.51667	2.06720
164.51667	2.16387
164.51667	2.20785
164.51667	2.23121
164.51667	2.42567
164.51667	2.53330
164.51667	2.50446
164.51667	2.50349
164.51667	2.51622
164.51667	2.54039
164.51667	2.57728
164.51667	2.59823
164.51667	2.60032
164.51667	2.67459
164.51667	2.67766
164.51667	2.67492
164.51667	2.65703
164.51667	2.65848
164.51667	2.64140
164.51667	2.21558
164.51667	1.88707
164.51667	1.89851
164.51667	2.00356
164.51667	2.06156
164.51667	2.06720
164.51667	2.06849
164.51667	2.05898
164.51667	2.05979
164.51667	2.05640
164.51667	2.04803
164.51667	2.04126
164.51667	2.04142
164.51667	2.03659
164.51667	2.01822
164.51667	2.00597
164.51667	2.00098
164.51667	2.00082
164.50000	1.99985
164.50000	1.99228
164.50000	1.99566
164.50000	1.99872
164.48333	2.00324
164.48333	2.01016
164.48333	2.00034
164.46667	2.00533
164.46667	2.00662
164.46667	2.00662
164.45000	2.01500
164.45000	2.01822
164.45000	2.02080
164.45000	2.03256
164.43333	2.02660
164.43333	2.02644
164.41667	2.03514
164.41667	2.04223
164.41667	2.05141
164.40000	2.06172
164.40000	2.07171
164.38333	2.06494
164.28333	2.10876
162.93333	2.58389
161.43333	0.25340
161.15000	0.12547
161.16667	0.13240
161.16667	0.12628
161.16667	0.11113
161.16667	0.10147
161.16667	0.10630
161.16667	0.10501
161.16667	0.10437
161.18333	0.10968
161.18333	0.10147
161.18333	0.10775
161.18333	0.10823
161.18333	0.11581
161.18333	0.11371
161.18333	0.15190
161.18333	0.17365
161.18333	0.18670
161.18333	0.17880
161.18333	0.18009
161.18333	0.19830
161.18333	1.50926
161.18333	1.51297
161.18333	1.40084
161.18333	1.43193
161.18333	1.42114
161.18333	1.67086
161.18333	1.89207
161.18333	2.00452
161.18333	2.46160
161.18333	2.45564
161.18333	2.46676
161.18333	2.46225
161.18333	2.45194
161.18333	2.44823
161.18333	2.44823
161.18333	2.44549
161.18333	2.43083
161.18333	2.44307
161.18333	2.44726
161.18333	2.44146
161.18333	2.44050
161.18333	2.44146
161.18333	2.44066
161.18333	2.43582
161.18333	2.41842
161.18333	2.41568
161.18333	2.42342
161.18333	2.41601
161.18333	2.41859
161.18333	2.42068
161.18333	2.42471
161.18333	2.43889
161.18333	2.45016
161.18333	2.44694
161.18333	2.45709
161.16667	2.46370
161.16667	2.45983
161.15000	2.46869
161.15000	2.47417
161.15000	2.47369
161.13333	2.47530
161.13333	2.47578
161.13333	2.47497
161.11667	2.47514
161.11667	2.47868
161.10000	2.47804
161.08333	2.48561
160.40000	1.76302
159.33333	0.00609
159.10000	-0.00229
159.11667	-0.00052
159.11667	-0.00309
159.11667	0.00255
159.11667	0.00448
159.11667	-0.00003
159.13333	0.00303
159.13333	0.00190
159.13333	0.00335
159.13333	0.00206
159.13333	0.00206
159.13333	0.00255
159.13333	-0.00084
159.13333	-0.00068
159.13333	0.00480
159.13333	0.01415
159.13333	0.12451
159.13333	2.03401
159.13333	2.15758
159.13333	2.20463
159.13333	2.29243
159.13333	2.30629
159.13333	2.30436
159.13333	2.30419
159.13333	2.29582
159.13333	2.29743
159.13333	2.30484
159.13333	2.30677
159.13333	2.29872
159.13333	2.29727
159.13333	2.30758
159.13333	2.29549
159.13333	2.30081
159.13333	2.30613
159.13333	2.30774
159.13333	2.30001
159.13333	2.30291
159.13333	2.29791
159.13333	2.29856
159.13333	2.29388
159.13333	2.29533
159.13333	2.29131
159.13333	2.28728
159.13333	2.28035
159.13333	2.28470
159.11667	2.29050
159.11667	2.29646
159.11667	2.30484
159.11667	2.30597
159.11667	2.31257
159.10000	2.32659
159.10000	2.32884
159.08333	2.32417
159.08333	2.32578
159.06667	2.32707
159.06667	2.33432
159.03333	2.33191
158.83333	2.29340
158.08333	1.38376
157.65000	0.11468
157.65000	0.08503
157.65000	0.09341
157.65000	0.09051
157.65000	0.09712
157.65000	0.09986
157.66667	0.09857
157.66667	0.09212
157.66667	0.08826
157.66667	0.08648
157.66667	0.08552
157.66667	0.07553
157.66667	0.07956
157.66667	0.10179
157.68333	0.09841
157.68333	0.16817
157.68333	0.51843
157.68333	0.70258
157.68333	0.75349
157.68333	0.71498
157.68333	0.75010
157.68333	0.79087
157.68333	1.13613
157.68333	1.65717
157.68333	2.18852
157.68333	2.12890
157.68333	1.75673
157.68333	1.78106
157.68333	1.91076
157.68333	1.88772
157.68333	1.87998
157.68333	1.88272
157.68333	1.87402
157.68333	1.87757
157.68333	1.89158
157.68333	1.89416
157.68333	1.88772
157.68333	1.87193
157.68333	1.85131
157.68333	1.89336
157.68333	1.91865
157.68333	1.93235
157.68333	1.90415
157.68333	1.88288
157.68333	1.91881
157.68333	1.89126
157.68333	1.90093
157.68333	1.87209
157.68333	1.87998
157.68333	1.90045
157.68333	1.91366
157.68333	1.91575
157.68333	1.90367
157.68333	1.89932
157.68333	1.89642
157.68333	1.88192
157.68333	1.84406
157.68333	1.85646
157.68333	1.85743
157.68333	1.88353
157.66667	1.86291
157.66667	1.84100
157.66667	1.85356
157.65000	1.84309
157.65000	1.82456
157.65000	1.81232
157.65000	1.79298
157.65000	1.80120
157.63333	1.79653
157.63333	1.80748
157.63333	1.80636
157.63333	1.81828
157.63333	1.82730
157.61667	1.82585
157.61667	1.83052
157.61667	1.83520
157.60000	1.83616
157.60000	1.84663
157.60000	1.85179
157.58333	1.84792
157.58333	1.85727
157.55000	1.85985
157.06667	2.07976
155.58333	1.63977
154.18333	0.01721
153.01667	0.00883
152.11667	0.01173
151.55000	0.01173
151.43333	0.00593
151.45000	0.01334
151.45000	0.01076
151.45000	0.01173
151.45000	0.00464
151.46667	0.01157
151.46667	0.00947
151.46667	0.00996
151.46667	0.01286
151.46667	0.00851
151.46667	0.00528
151.46667	0.01125
151.46667	0.00593
151.46667	0.00577
151.46667	0.00835
151.46667	0.01108
151.46667	0.01092
151.46667	0.01092
151.45000	0.00351
151.45000	0.01286
151.45000	0.00528
151.45000	0.01141
151.45000	0.01157
151.46667	0.01044
151.46667	0.00754
151.45000	0.01253
151.45000	0.01044
151.46667	0.00963
151.46667	0.01173
151.46667	0.00947
151.46667	0.00899
151.46667	0.00528
151.46667	0.00400
151.46667	0.01125
151.46667	0.00818
151.46667	0.00561
151.46667	0.00883
151.46667	0.01221
151.46667	0.01012
151.46667	0.01044
151.46667	0.00255
151.46667	0.01076
151.46667	0.00980
151.46667	0.00867
151.46667	0.00818
151.46667	0.00818
151.46667	0.00963
151.46667	0.01092
151.46667	0.00690
151.46667	0.01882
151.46667	0.74769
151.46667	1.97714
151.46667	1.95426
151.45000	1.96344
151.45000	1.96199
151.45000	1.96763
151.45000	1.96537
151.45000	1.96699
151.45000	1.96344
151.46667	1.97150
151.46667	1.97859
151.46667	1.97488
151.46667	1.97697
151.46667	1.97488
151.46667	1.97520
151.46667	1.96086
151.45000	1.96602
151.45000	1.96006
151.45000	1.96070
151.45000	1.95990
151.45000	1.95506
151.45000	1.94846
151.45000	1.95619
151.45000	1.96908
151.45000	1.97166
151.45000	1.98503
151.45000	1.97552
151.45000	1.95184
151.46667	1.85050
151.46667	1.64621
151.46667	1.66909
151.46667	1.76527
151.46667	1.91092
151.46667	1.87177
151.46667	1.86790
151.46667	1.86565
151.46667	1.87064
151.46667	1.86661
151.45000	1.86291
151.45000	1.84808
151.45000	1.83004
151.45000	1.83020
151.43333	1.82005
151.43333	1.81522
151.43333	1.81554
151.43333	1.82376
151.41667	1.82553
151.41667	1.82311
151.41667	1.83471
151.40000	1.82537
151.40000	1.82263
151.38333	1.82279
151.38333	1.83052
151.35000	1.83036
150.81667	1.94411
149.38333	0.40694
148.66667	0.00448
148.68333	0.00238
148.68333	-0.00132
148.68333	0.00335
148.70000	0.00093
148.70000	-0.00229
148.71667	0.00271
148.71667	0.00045
148.71667	-0.00068
148.71667	0.00013
148.71667	0.00238
148.71667	0.00061
148.71667	0.00238
148.71667	0.00126
148.71667	0.00110
148.71667	0.00480
148.71667	0.00190
148.71667	0.00351
148.71667	0.00174
148.71667	0.00238
148.71667	0.00126
148.71667	0.00400
148.71667	0.00255
148.71667	-0.00019
148.71667	0.02607
148.71667	1.78734
148.71667	1.80636
148.71667	1.80555
148.71667	1.80893
148.71667	1.80458
148.71667	1.80168
148.71667	1.79540
148.71667	1.79959
148.71667	1.79572
148.71667	1.79588
148.71667	1.79524
148.71667	1.79218
148.71667	1.80104
148.71667	1.80297
148.71667	1.80555
148.71667	1.80781
148.71667	1.79057
148.71667	1.79089
148.71667	1.79331
148.71667	1.79395
