Sensor Position (Degrees)	Light Intensity (Volts)
172.78333	2.55891
172.78333	2.56053
172.78333	2.57454
172.78333	2.55891
172.78333	2.55666
172.78333	2.56488
172.76667	2.57229
172.76667	2.56745
172.76667	2.57776
172.76667	2.56649
172.76667	2.57841
172.75000	2.55859
172.75000	2.56423
172.75000	2.56020
172.75000	2.57132
172.73333	2.58856
172.73333	2.58856
172.73333	2.59823
172.73333	2.59968
172.71667	2.60838
172.71667	2.61031
172.70000	2.61063
172.70000	2.61869
172.70000	2.62497
172.68333	2.62771
172.68333	2.62320
172.66667	2.61675
172.66667	2.62852
172.65000	2.63270
172.63333	2.64898
172.61667	2.64173
172.50000	2.65607
171.81667	2.34173
171.40000	0.90912
171.40000	0.64877
171.41667	0.61622
171.41667	0.58561
171.41667	0.59737
171.43333	0.63427
171.45000	0.65473
171.45000	0.76090
171.45000	0.65698
171.45000	0.41596
171.45000	0.49345
171.45000	0.49668
171.46667	0.60478
171.46667	0.90461
171.46667	0.78168
171.46667	1.60094
171.46667	2.25409
171.46667	2.35720
171.45000	2.46031
171.45000	2.47030
171.45000	2.47562
171.45000	2.47046
171.45000	2.44855
171.45000	2.44017
171.45000	2.42197
171.45000	2.41407
171.45000	2.42326
171.45000	2.37943
171.45000	2.21284
171.45000	1.61350
171.45000	1.64669
171.45000	1.82698
171.45000	1.85050
171.45000	1.96844
171.45000	2.04158
171.45000	2.02789
171.45000	2.01999
171.45000	2.03916
171.45000	2.15629
171.46667	2.23701
171.46667	2.24781
171.46667	2.24652
171.46667	2.25167
171.46667	2.24603
171.46667	2.23782
171.46667	2.24055
171.45000	2.23749
171.45000	2.23588
171.43333	2.24265
171.43333	2.22460
171.41667	2.24120
171.40000	2.25506
171.40000	2.26424
171.38333	2.26698
171.35000	2.28696
171.31667	2.31579
171.13333	2.39265
170.58333	2.40570
170.31667	2.27407
170.31667	2.26086
170.31667	2.24926
170.31667	2.24249
170.33333	2.25199
170.33333	2.24023
170.33333	2.23008
170.33333	2.24007
170.35000	2.23024
170.35000	2.21832
170.35000	2.21188
170.35000	2.21429
170.35000	2.20753
170.35000	2.20302
170.35000	2.20769
170.35000	2.21349
170.35000	2.21268
170.35000	2.20785
170.35000	2.21429
170.35000	2.21155
170.35000	2.21333
170.35000	2.21864
170.35000	2.21993
170.35000	2.24168
170.35000	2.32562
170.35000	1.93235
170.35000	1.98116
170.35000	1.89207
170.35000	1.92767
170.35000	1.99067
170.35000	1.99083
170.35000	2.03626
170.35000	2.04770
170.35000	2.05850
170.35000	2.33835
170.35000	2.33384
170.35000	2.32578
170.35000	2.31579
170.35000	2.33013
170.35000	2.32482
170.35000	2.30919
170.35000	2.32466
170.35000	2.32256
170.35000	2.33722
170.35000	2.34270
170.35000	2.34673
170.35000	2.35785
170.35000	2.36332
170.33333	2.36622
170.33333	2.36493
170.33333	2.36510
170.31667	2.36638
170.31667	2.36912
170.31667	2.36719
170.30000	2.37106
170.30000	2.36381
170.30000	2.36735
170.28333	2.36091
170.28333	2.36687
170.28333	2.35607
170.26667	2.36558
170.26667	2.35188
170.26667	2.35930
170.25000	2.35752
170.25000	2.35108
170.23333	2.35366
170.21667	2.34915
170.13333	2.35076
169.43333	2.12616
169.06667	1.36217
169.06667	1.18237
169.08333	1.15788
169.08333	1.03286
169.08333	1.02867
169.08333	0.99806
169.08333	1.02706
169.10000	0.99226
169.10000	1.03028
169.10000	0.98549
169.10000	0.77427
169.10000	0.74495
169.10000	0.76364
169.10000	0.74737
169.10000	0.75349
169.10000	0.75639
169.10000	0.75607
169.10000	0.80794
169.10000	0.92169
169.10000	1.14225
169.10000	1.32382
169.10000	1.75544
169.10000	2.17982
169.10000	2.21429
169.10000	2.18932
169.10000	2.18352
169.10000	2.19367
169.10000	2.19593
169.10000	2.19593
169.10000	2.19206
169.10000	2.19335
169.10000	2.18175
169.10000	2.18626
169.10000	2.17853
169.10000	2.17369
169.10000	2.16403
169.10000	2.16467
169.10000	2.17402
169.10000	2.23234
169.10000	2.11344
169.10000	2.12600
169.11667	2.12343
169.11667	2.13293
169.11667	2.12649
169.11667	2.12697
169.11667	2.11618
169.11667	2.13019
169.11667	2.13196
169.11667	2.12939
169.11667	2.13341
169.11667	2.13486
169.11667	2.13486
169.11667	2.13277
169.11667	2.13470
169.11667	2.13277
169.11667	2.13309
169.11667	2.14002
169.11667	2.13921
169.11667	2.14034
169.11667	2.15049
169.10000	2.15210
169.10000	2.15436
169.10000	2.16225
169.10000	2.15790
169.10000	2.16242
169.08333	2.17466
169.08333	2.17208
169.08333	2.17353
169.08333	2.17128
169.06667	2.17257
169.06667	2.17015
169.06667	2.17804
169.05000	2.16741
169.05000	2.16612
169.05000	2.16129
169.03333	2.15533
169.03333	2.16354
169.01667	2.16515
169.00000	2.15082
168.98333	2.14985
168.93333	2.11618
168.28333	0.69178
167.20000	0.02397
166.98333	0.01930
166.98333	0.01624
166.98333	0.01173
167.00000	0.01366
167.00000	0.01253
167.00000	0.01511
167.00000	0.01302
167.00000	0.01656
167.00000	0.01560
167.00000	0.01914
167.00000	0.01978
167.01667	0.01527
167.01667	0.01463
167.01667	0.02881
167.01667	0.04347
167.01667	0.06232
167.01667	0.18122
167.01667	0.43271
167.01667	0.42289
167.01667	0.40194
167.01667	0.41789
167.01667	0.46091
167.01667	0.49329
167.01667	0.86014
167.01667	1.99099
167.01667	2.06011
167.01667	2.02273
167.01667	2.01226
167.00000	2.02627
167.00000	1.97424
167.00000	1.87612
167.00000	1.85791
167.00000	1.84422
167.00000	1.86677
167.00000	1.88482
167.00000	1.89626
167.00000	1.98004
167.00000	2.03304
167.00000	2.05479
167.00000	2.05415
167.00000	2.06269
167.00000	2.05737
167.00000	1.99180
167.00000	1.74981
167.00000	1.78589
167.00000	1.85807
167.00000	1.87064
167.00000	1.86581
167.00000	1.85340
167.00000	1.83407
167.01667	1.86468
167.01667	1.91736
167.01667	2.03207
167.01667	2.03111
167.01667	2.03465
167.01667	2.03465
167.01667	2.03562
167.01667	2.04061
167.01667	2.03417
167.01667	2.03449
167.01667	2.03723
167.01667	2.03642
167.01667	2.02917
167.01667	2.04174
167.01667	2.02998
167.01667	2.02692
167.01667	2.03143
167.01667	2.03207
167.01667	2.03191
167.01667	2.03046
167.01667	2.02837
167.01667	2.01951
167.01667	2.01596
167.00000	2.02144
167.00000	2.01709
167.00000	2.01387
167.00000	2.01902
167.00000	2.00356
166.98333	2.01113
166.96667	1.98358
166.78333	2.01306
165.41667	0.59898
163.80000	0.01769
163.48333	0.00996
163.50000	0.01253
163.50000	0.01060
163.50000	0.00963
163.50000	0.00609
163.50000	0.01237
163.51667	0.00867
163.51667	0.01366
163.51667	0.00915
163.51667	0.00818
163.51667	0.01108
163.51667	0.00915
163.51667	0.01479
163.51667	0.01350
163.51667	0.01237
163.51667	0.02542
163.51667	0.04717
163.51667	1.41824
163.51667	1.69599
163.51667	1.69036
163.51667	1.71098
163.51667	1.72064
163.51667	1.76334
163.51667	1.76076
163.51667	1.68327
163.51667	1.60658
163.51667	1.60577
163.51667	1.61318
163.51667	1.60867
163.51667	1.60319
163.51667	1.60416
163.51667	1.67247
163.51667	1.76576
163.51667	1.76849
163.51667	1.77558
163.51667	1.77381
163.51667	1.77284
163.51667	1.77107
163.51667	1.76269
163.51667	1.59224
163.51667	1.52409
163.51667	1.51990
163.51667	1.51023
163.51667	1.48349
163.51667	1.45739
163.51667	1.45578
163.51667	1.46947
163.51667	1.46544
163.51667	1.47495
163.51667	1.48703
163.51667	1.46786
163.51667	1.47108
163.51667	1.51974
163.51667	1.54987
163.51667	1.55792
163.51667	1.56179
163.51667	1.56308
163.51667	1.56227
163.51667	1.55985
163.51667	1.56630
163.51667	1.58499
163.51667	1.59788
163.51667	1.60223
163.51667	1.60062
163.51667	1.59949
163.51667	1.60029
163.51667	1.60190
163.51667	1.60207
163.51667	1.65684
163.51667	1.68987
163.51667	1.68407
163.51667	1.69261
163.51667	1.68713
163.51667	1.69261
163.51667	1.69277
163.51667	1.69245
163.51667	1.69503
163.51667	1.68488
163.51667	1.69454
163.51667	1.69761
163.51667	1.68359
163.50000	1.67602
163.50000	1.67005
163.50000	1.66361
163.50000	1.66345
163.48333	1.66103
163.48333	1.65604
163.48333	1.65265
163.48333	1.66039
163.48333	1.66506
163.48333	1.66232
163.48333	1.65845
163.48333	1.66200
163.48333	1.66087
163.46667	1.65298
163.46667	1.65797
163.46667	1.64782
163.46667	1.64734
163.46667	1.64734
163.46667	1.64540
163.45000	1.62575
163.45000	1.63703
163.45000	1.63300
163.45000	1.63123
163.45000	1.63010
163.45000	1.63284
163.43333	1.62978
163.43333	1.62382
163.43333	1.62994
163.43333	1.62768
163.43333	1.62140
163.43333	1.62527
163.41667	1.62398
163.41667	1.62688
163.41667	1.63493
163.41667	1.63139
163.40000	1.63848
163.40000	1.63203
163.40000	1.63187
163.40000	1.64573
163.38333	1.63397
163.36667	1.64138
163.35000	1.63622
162.46667	1.63993
161.11667	0.04975
160.95000	0.01479
160.96667	0.01318
160.96667	0.01688
160.96667	0.01995
160.98333	0.01592
160.98333	0.02140
160.98333	0.01560
160.98333	0.02075
160.98333	0.01688
160.98333	0.01801
160.98333	0.01624
160.98333	0.01318
160.98333	0.01705
160.98333	0.02059
160.98333	0.01688
160.98333	0.02043
160.98333	0.01882
160.98333	0.02011
160.98333	0.01640
160.98333	0.01882
160.98333	0.01737
160.98333	0.02011
160.98333	0.02123
160.98333	0.01801
160.98333	0.02172
160.98333	0.02059
160.98333	0.02091
160.98333	0.01817
160.98333	0.02140
160.98333	0.03219
160.98333	0.45253
160.98333	1.24746
160.98333	1.53408
160.98333	1.54181
160.98333	1.53698
160.98333	1.51958
160.98333	1.42275
160.98333	1.38988
160.98333	1.36394
160.98333	1.35927
160.98333	1.36861
160.98333	1.35975
160.98333	1.36636
160.98333	1.36265
160.98333	1.36136
160.98333	1.36926
160.98333	1.37022
160.98333	1.36636
160.98333	1.36958
160.98333	1.37651
161.00000	1.37667
161.00000	1.38617
161.00000	1.41405
161.00000	1.42613
161.00000	1.43805
161.00000	1.44917
161.00000	1.44128
161.00000	1.45964
161.00000	1.44756
161.00000	1.45239
161.00000	1.44998
161.00000	1.44853
161.00000	1.45110
161.00000	1.45030
161.00000	1.46689
161.00000	1.51410
161.00000	1.55003
161.00000	1.56743
161.00000	1.56710
161.00000	1.55567
161.00000	1.54278
161.00000	1.55035
161.00000	1.54922
161.00000	1.54890
161.00000	1.54310
161.00000	1.54197
161.00000	1.53826
161.00000	1.53778
161.00000	1.53730
161.00000	1.53843
161.00000	1.54310
161.00000	1.54310
160.98333	1.55035
160.98333	1.54326
160.98333	1.55309
160.98333	1.55325
160.98333	1.54745
160.96667	1.54729
160.96667	1.54696
160.95000	1.54455
160.93333	1.53988
160.86667	1.54793
159.91667	1.25342
158.60000	0.02140
158.33333	0.01366
158.33333	0.01350
158.35000	0.01962
158.35000	0.01672
158.35000	0.01302
158.35000	0.01608
158.35000	0.01608
158.35000	0.01479
158.35000	0.01076
158.35000	0.01286
158.35000	0.01350
158.35000	0.00963
158.35000	0.00464
158.35000	0.00722
158.35000	0.01157
158.35000	0.00963
158.35000	0.00883
158.35000	0.02204
158.35000	0.09083
158.35000	0.25227
158.35000	0.35119
158.35000	1.26180
158.35000	1.39745
158.35000	1.39745
158.35000	1.37780
158.35000	1.37635
158.35000	1.37651
158.35000	1.37135
158.35000	1.36056
158.35000	1.36668
158.35000	1.36829
158.35000	1.35911
158.35000	1.35315
158.35000	1.34960
158.35000	1.33849
158.35000	1.32221
158.35000	1.32689
158.35000	1.32560
158.35000	1.30787
158.35000	1.31061
158.35000	1.31577
158.35000	1.31061
158.35000	1.31883
158.35000	1.33043
158.35000	1.34332
158.35000	1.38988
158.35000	1.38182
158.35000	1.38505
158.35000	1.37619
158.35000	1.37876
158.35000	1.37828
158.35000	1.37683
158.35000	1.37651
158.35000	1.37490
158.35000	1.37586
158.35000	1.38166
158.33333	1.37248
158.33333	1.37635
158.33333	1.37393
158.33333	1.37715
158.31667	1.36797
158.31667	1.37731
158.30000	1.37361
158.25000	1.36217
157.45000	0.96213
156.16667	0.01672
155.71667	0.00899
155.73333	0.00335
155.73333	0.00738
155.73333	0.00255
155.73333	0.00287
155.75000	0.00722
155.75000	0.00931
155.75000	0.00512
155.75000	0.00383
155.75000	0.00899
155.75000	0.00786
155.75000	0.00706
155.75000	0.00770
155.75000	0.02043
155.75000	1.17560
155.75000	1.21685
155.75000	1.26727
155.75000	1.25068
155.75000	1.19783
155.75000	0.93442
155.75000	0.39743
155.75000	0.43851
155.75000	0.49168
155.75000	0.47251
155.75000	0.47235
155.75000	0.47750
155.75000	0.53438
155.75000	0.60011
155.75000	0.74656
155.75000	0.74801
155.75000	0.75155
155.75000	0.73947
155.75000	0.74302
155.75000	0.75671
155.75000	0.76170
155.75000	0.77862
155.75000	0.79006
155.75000	0.83855
155.75000	0.84629
155.75000	0.81906
155.75000	0.82454
155.75000	0.82776
155.75000	0.83549
155.75000	0.82405
155.75000	0.82212
155.75000	0.83243
155.75000	0.83614
155.75000	0.89591
155.75000	0.90638
155.75000	1.01739
155.75000	1.23892
155.75000	1.23425
155.75000	1.23215
155.75000	1.23908
155.75000	1.23409
155.75000	1.23135
155.75000	1.23521
155.75000	1.24069
155.75000	1.24681
155.75000	1.25841
155.75000	1.25584
155.75000	1.25406
155.75000	1.25793
155.75000	1.25503
155.75000	1.24939
155.75000	1.25374
155.75000	1.24601
155.75000	1.25149
155.75000	1.25116
155.75000	1.24520
155.75000	1.24375
155.73333	1.24697
155.73333	1.25116
155.73333	1.24987
155.73333	1.24262
155.73333	1.24778
155.71667	1.24359
155.71667	1.23344
155.70000	1.24246
155.70000	1.23908
155.70000	1.24279
155.68333	1.23183
155.68333	1.23827
155.66667	1.23119
155.66667	1.23940
155.65000	1.23280
155.65000	1.23231
155.63333	1.23650
155.61667	1.23167
155.60000	1.23682
155.36667	1.23972
154.61667	1.12179
154.08333	0.81761
154.06667	0.67825
154.06667	0.64377
154.08333	0.60784
154.08333	0.60253
154.08333	0.58819
154.08333	0.58416
154.08333	0.58529
154.08333	0.65376
154.08333	1.10358
154.08333	1.17641
154.08333	1.18060
154.08333	1.16738
154.08333	1.17383
154.08333	1.17254
154.08333	1.17399
154.08333	1.16175
154.08333	1.12517
154.08333	1.06105
154.08333	1.05622
154.08333	1.05396
154.08333	1.04768
154.08333	1.05235
154.08333	1.08667
154.08333	1.14580
154.08333	1.15627
154.08333	1.14902
154.08333	1.14692
154.08333	1.15160
154.08333	1.14386
154.08333	1.14821
154.08333	1.14306
154.08333	1.14531
154.08333	1.14225
154.08333	1.14644
154.08333	1.14096
154.08333	1.14064
154.08333	1.14692
154.08333	1.14741
154.08333	1.15031
154.08333	1.14306
154.08333	1.14161
154.06667	1.13935
154.06667	1.14483
154.06667	1.12968
154.06667	1.14032
154.05000	1.13226
154.05000	1.13258
154.05000	1.12936
154.03333	1.13097
154.03333	1.12775
154.03333	1.12501
154.03333	1.12743
154.01667	1.12759
154.01667	1.13532
154.01667	1.12952
154.00000	1.13677
154.00000	1.13726
153.98333	1.13774
153.98333	1.13581
153.96667	1.13420
153.96667	1.13403
153.96667	1.11986
153.95000	1.13565
153.95000	1.13790
153.93333	1.14000
153.90000	1.13758
153.81667	1.14016
153.18333	1.06701
152.66667	0.47493
152.66667	0.31510
152.66667	0.29480
152.66667	0.29367
152.66667	0.29964
152.66667	0.30560
152.66667	0.22826
152.66667	0.21554
152.66667	0.92636
152.66667	1.04848
152.66667	0.97437
152.66667	0.72272
152.66667	0.71160
152.66667	0.76042
152.66667	0.78909
152.66667	0.82953
152.66667	0.88689
152.66667	0.88689
152.66667	0.89591
152.66667	0.92926
152.66667	0.93603
152.66667	0.92991
152.66667	0.92797
152.66667	0.89366
152.68333	0.90252
152.68333	0.94151
152.68333	0.94859
152.68333	0.94859
152.68333	0.94940
152.68333	0.96003
152.68333	0.95874
152.68333	0.95198
152.68333	0.95536
152.68333	0.94795
152.68333	0.96132
152.68333	0.95520
152.70000	0.95794
152.70000	0.95198
152.70000	0.94972
152.68333	0.94795
152.68333	0.94972
152.68333	0.96551
152.68333	0.95971
152.68333	0.95504
152.68333	0.93667
152.68333	0.93812
152.66667	0.92733
152.66667	0.91444
152.65000	0.92153
152.63333	0.91073
152.61667	0.92072
152.41667	0.96100
151.31667	1.03431
150.21667	0.07021
150.05000	0.03622
150.05000	0.03348
150.05000	0.03187
150.05000	0.03380
150.06667	0.02784
150.06667	0.02768
150.06667	0.03106
150.06667	0.02575
150.06667	0.02397
150.06667	0.03332
150.06667	0.02865
150.06667	0.03332
150.06667	0.03380
150.06667	0.05781
150.06667	0.06602
150.06667	0.05845
150.06667	0.07021
150.06667	0.08955
150.06667	0.90236
150.06667	0.98275
150.06667	0.97357
150.06667	0.98001
150.06667	0.98791
150.06667	0.98339
150.06667	0.98694
150.06667	0.98388
150.06667	0.98484
150.06667	0.97888
150.06667	0.97631
150.06667	0.96616
150.06667	0.96390
150.06667	0.96261
150.06667	0.89736
150.06667	0.87803
150.06667	0.89656
150.06667	0.89720
150.06667	0.89092
150.06667	0.89301
150.06667	0.89446
150.06667	0.89752
150.06667	0.89752
150.06667	0.88882
150.06667	0.88786
150.06667	0.89124
150.06667	0.89011
150.06667	0.88850
150.06667	0.88786
150.06667	0.88254
150.06667	0.87916
150.05000	0.87706
150.05000	0.87384
150.05000	0.87368
150.05000	0.87319
150.03333	0.87577
150.03333	0.87867
150.03333	0.88173
150.03333	0.87996
150.01667	0.87207
150.01667	0.88496
150.01667	0.87980
150.01667	0.87964
150.00000	0.88238
150.00000	0.87754
149.98333	0.88173
149.98333	0.88044
149.96667	0.87980
149.95000	0.88608
149.75000	0.92040
148.90000	0.93039
148.35000	0.66085
148.35000	0.55387
148.35000	0.56789
148.35000	0.55323
148.35000	0.55355
148.36667	0.54114
148.36667	0.54984
148.36667	0.54195
148.36667	0.56821
148.36667	0.71692
148.36667	0.88028
148.36667	0.92588
148.36667	0.92024
148.36667	0.90944
