Sensor Position (Degrees)	Light Intensity (Volts)
169.33333	0.11710
169.33333	0.11903
169.33333	0.12515
169.35000	0.12515
169.35000	0.16994
169.35000	0.23358
169.35000	0.55725
169.35000	0.94924
169.35000	1.44047
169.35000	1.75851
169.35000	1.83407
169.35000	1.86935
169.35000	1.79927
169.35000	1.76092
169.35000	1.74852
169.35000	1.71001
169.35000	1.70292
169.35000	1.69019
169.35000	1.65185
169.35000	1.64750
169.35000	1.65024
169.35000	1.65926
169.35000	1.67650
169.36667	1.73047
169.36667	1.79186
169.36667	1.79427
169.36667	1.80104
169.36667	1.79878
169.36667	1.78734
169.36667	1.79298
169.36667	1.79282
169.36667	1.78332
169.36667	1.77945
169.35000	1.76737
169.35000	1.74481
169.35000	1.72161
169.33333	1.70292
169.33333	1.69229
169.33333	1.67376
169.33333	1.67295
169.31667	1.67537
169.31667	1.67940
169.31667	1.65410
169.31667	1.52006
169.31667	1.49251
169.31667	1.45255
169.31667	1.48993
169.31667	1.51523
169.30000	1.54600
169.30000	1.54471
169.30000	1.54519
169.30000	1.54648
169.30000	1.54229
169.28333	1.54487
169.28333	1.53279
169.26667	1.53988
169.26667	1.53955
169.20000	1.54970
168.40000	1.72886
168.18333	1.56936
168.18333	1.54874
168.18333	1.54970
168.18333	1.54487
168.18333	1.55035
168.16667	1.54503
168.16667	1.54213
168.16667	1.54036
168.16667	1.53746
168.16667	1.54261
168.16667	1.54390
168.16667	1.53778
168.16667	1.53665
168.16667	1.54116
168.16667	1.58483
168.16667	1.66264
168.16667	1.68149
168.16667	1.65523
168.16667	1.61624
168.16667	1.61576
168.16667	1.61640
168.16667	1.61995
168.16667	1.61818
168.16667	1.61254
168.16667	1.58354
168.16667	1.52940
168.16667	1.48349
168.16667	1.48236
168.16667	1.49460
168.16667	1.53263
168.16667	1.54664
168.16667	1.55341
168.16667	1.55003
168.16667	1.53988
168.16667	1.53101
168.16667	1.53005
168.16667	1.52022
168.16667	1.49863
168.15000	1.49670
168.15000	1.50443
168.13333	1.49138
168.08333	1.50717
166.98333	1.48494
165.60000	0.01108
165.23333	0.00528
165.23333	0.00367
165.25000	0.00077
165.25000	0.00335
165.25000	-0.00116
165.25000	0.00238
165.25000	0.00400
165.25000	0.00287
165.25000	0.00319
165.25000	0.02156
165.25000	0.15705
165.25000	0.44206
